# CPU: 12th Gen Intel(R) Core(TM) i5-12500
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: x86_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (1.15099 sec) vs Schnorr (2.23328 sec):
# Suggested budget: 10089.7 varops per weight unit (current: 5200)
# Formula: 5200 / 1.15099 * 2.23328 = 10089.7
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,2.23328,80000,0,false
2,MUL_DUP_1Bx2,1.97899,70890.6,82.4893,true
3,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.63706,58642.3,4.28572,false
4,RIPEMD160_DROP_DUP_520Bx2,1.24298,44525.5,3.33333,false
5,DUP_DUP_WITHIN_DROP_DUP_2MBx2,1.15099,41230.2,100,true
6,DUP_DUP_WITHIN_DROP_DUP_1MBx2,1.13051,40496.8,100,true
7,DUP_NUMEQUAL_DROP_DUP_2MBx2,1.1155,39958.9,100,true
8,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,1.10937,39739.6,90.6594,true
9,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.10557,39603.3,4.28572,false
10,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,1.08312,38799.3,100,true
11,DUP_NUMEQUALVERIFY_DUP_2MBx2,1.07959,38672.7,100,true
12,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,1.06487,38145.5,100,true
13,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,1.06478,38142.2,100,true
14,DUP_LESSTHAN_DROP_DUP_2MBx2,1.06341,38093.1,100,true
15,DUP_GREATERTHAN_DROP_DUP_2MBx2,1.06202,38043.5,100,true
16,DUP_LESSTHANOREQUAL_DROP_DUP_1MBx2,1.05629,37838.2,100,true
17,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,1.05616,37833.3,100,true
18,DUP_NUMEQUAL_DROP_DUP_1MBx2,1.05382,37749.7,100,true
19,DUP_LESSTHAN_DROP_DUP_1MBx2,1.05294,37718.2,100,true
20,DUP_NUMEQUALVERIFY_DUP_1MBx2,1.05193,37682,100,true
21,DUP_GREATERTHANOREQUAL_DROP_DUP_1MBx2,1.05074,37639.3,100,true
22,DUP_GREATERTHAN_DROP_DUP_1MBx2,1.05,37612.8,100,true
23,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,0.992266,35544.7,90.6594,true
24,MUL_DUP_100Bx2,0.981682,35165.5,50.4162,true
25,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,0.945284,33861.7,99.9663,true
26,DUP_DUP_WITHIN_DROP_DUP_100KBx2,0.939411,33651.3,100,true
27,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,0.937253,33574,90.6594,true
28,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,0.922812,33056.7,99.9663,true
29,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,0.9213,33002.5,99.9663,true
30,HASH256_DROP_DUP_2MBx2,0.91519,32783.7,99.9519,true
31,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,0.911761,32660.8,99.9995,true
32,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,0.911569,32653.9,99.9997,true
33,SHA256_DROP_DUP_2MBx2,0.910783,32625.8,99.9519,true
34,HASH160_DROP_DUP_2MBx2,0.908812,32555.2,99.9519,true
35,SHA256_DROP_DUP_1MBx2,0.908126,32530.6,100,true
36,HASH256_DROP_DUP_1MBx2,0.906957,32488.7,100,true
37,HASH160_DROP_DUP_1MBx2,0.906624,32476.8,100,true
38,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,0.906029,32455.5,99.9997,true
39,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,0.898445,32183.8,99.9997,true
40,DUP_DUP_WITHIN_DROP_DUP_10KBx2,0.897574,32152.6,100,true
41,HASH160_DROP_DUP_10KBx2,0.897561,32152.2,100,true
42,HASH256_DROP_DUP_10KBx2,0.894911,32057.2,100,true
43,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,0.893933,32022.2,99.9995,true
44,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,0.890473,31898.2,99.9995,true
45,HASH256_DROP_DUP_100KBx2,0.885173,31708.4,99.9995,true
46,HASH160_DROP_DUP_100KBx2,0.883861,31661.4,99.9995,true
47,SHA256_DROP_DUP_10KBx2,0.883014,31631,100,true
48,SHA256_DROP_DUP_100KBx2,0.880085,31526.1,99.9995,true
49,HASH160_DROP_DUP_1KBx2,0.86934,31141.2,70.5129,true
50,DUP_NUMEQUAL_DROP_DUP_100KBx2,0.861067,30844.9,100,true
51,DUP_NUMNOTEQUAL_DROP_DUP_100KBx2,0.849174,30418.9,100,true
52,DUP_LESSTHANOREQUAL_DROP_DUP_100KBx2,0.83943,30069.8,100,true
53,DUP_GREATERTHANOREQUAL_DROP_DUP_100KBx2,0.83884,30048.7,100,true
54,SHA1_DROP_DUP_520Bx2,0.837856,30013.4,3.33333,false
55,DUP_NUMEQUAL_DROP_DUP_10KBx2,0.837322,29994.3,100,true
56,DUP_NUMEQUALVERIFY_DUP_100KBx2,0.83164,29790.8,100,true
57,DUP_GREATERTHAN_DROP_DUP_100KBx2,0.831391,29781.8,100,true
58,DUP_LESSTHAN_DROP_DUP_100KBx2,0.829227,29704.3,100,true
59,MIN_DUP_2MBx2,0.815776,29222.5,100,true
60,MAX_DUP_2MBx2,0.815556,29214.6,100,true
61,DUP_GREATERTHANOREQUAL_DROP_DUP_10KBx2,0.814313,29170.1,100,true
62,DUP_GREATERTHAN_DROP_DUP_10KBx2,0.811966,29086,100,true
63,DUP_LESSTHANOREQUAL_DROP_DUP_10KBx2,0.811328,29063.1,100,true
64,1ADD_DROP_DUP_2MBx2,0.810723,29041.5,100,true
65,MIN_DUP_1MBx2,0.800503,28675.4,99.9952,true
66,MAX_DUP_1MBx2,0.800266,28666.9,99.9952,true
67,DUP_MIN_DROP_DUP_2MBx2,0.799798,28650.1,100,true
68,DUP_NUMNOTEQUAL_DROP_DUP_10KBx2,0.799463,28638.1,100,true
69,DUP_NUMEQUALVERIFY_DUP_10KBx2,0.796425,28529.3,100,true
70,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_1MBx2,0.795511,28496.6,99.9856,true
71,DUP_LESSTHAN_DROP_DUP_10KBx2,0.795084,28481.2,100,true
72,DUP_MAX_DROP_DUP_2MBx2,0.79321,28414.1,100,true
73,DUP_MIN_DROP_DUP_1MBx2,0.792316,28382.1,100,true
74,1ADD_DROP_DUP_1MBx2,0.788452,28243.7,100,true
75,DUP_MAX_DROP_DUP_1MBx2,0.787253,28200.7,100,true
76,MUL_DUP_10Bx2,0.774369,27739.2,32.267,true
77,HASH256_DROP_DUP_1KBx2,0.773613,27712.1,70.5129,true
78,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,0.76728,27485.3,1.64835,false
79,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,0.765824,27433.1,47.1429,false
80,MIN_DUP_10KBx2,0.721539,25846.7,100,true
81,ABS_DROP_DUP_2MBx2,0.719858,25786.5,100,true
82,MAX_DUP_100KBx2,0.717071,25686.7,99.9995,true
83,MIN_DUP_100KBx2,0.716935,25681.8,99.9995,true
84,MAX_DUP_10KBx2,0.714921,25609.7,100,true
85,2DUP_2DROP_1MBx2,0.713864,25571.8,100,true
86,DUP_CAT_DROP_DUP_2MBx2,0.711939,25502.8,100,true
87,2OVER_DROP_DROP_1MBx2,0.711396,25483.4,100,true
88,2DUP_DROP_DROP_1MBx2,0.710615,25455.4,100,true
89,TUCK_DROP_1MBx2,0.710453,25449.6,100,true
90,2DUP_DROP_DROP_2MBx2,0.709267,25407.1,100,true
91,2DUP_2DROP_2MBx2,0.708427,25377.1,100,true
92,3DUP_ABS_DROP_ABS_DROP_ABS_DROP_1MBx2,0.708023,25362.6,99.9952,true
93,NIP_DUP_2MBx2,0.706426,25305.4,100,true
94,3DUP_NEGATE_DROP_NEGATE_DROP_NEGATE_DROP_1MBx2,0.706235,25298.5,99.9952,true
95,SHA256_DROP_DUP_1KBx2,0.703734,25208.9,70.5129,true
96,DUP_DROP_2MBx2,0.703499,25200.5,100,true
97,NEGATE_DROP_DUP_2MBx2,0.702926,25180,100,true
98,TUCK_DROP_2MBx2,0.700263,25084.6,100,true
99,DUP_CAT_DROP_DUP_1MBx2,0.699611,25061.3,100,true
100,DROP_DUP_2MBx2,0.698094,25006.9,100,true
101,1ADD_DROP_DUP_100KBx2,0.671295,24046.9,100,true
102,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_100KBx2,0.663274,23759.6,99.9986,true
103,NIP_DUP_1MBx2,0.65878,23598.6,100,true
104,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_10KBx2,0.656321,23510.5,99.9999,true
105,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,0.651014,23320.4,47.1429,false
106,ABS_DROP_DUP_1MBx2,0.649474,23265.3,100,true
107,3DUP_2DIV_DROP_2DIV_DROP_2DIV_DROP_10KBx2,0.64917,23254.4,100,true
108,DROP_DUP_1MBx2,0.648974,23247.3,100,true
109,2DIV_DROP_DUP_100KBx2,0.647566,23196.9,99.9995,true
110,NEGATE_DROP_DUP_1MBx2,0.647075,23179.3,100,true
111,DUP_ADD_DROP_DUP_2MBx2,0.645172,23111.1,99.9904,true
112,DUP_DROP_1MBx2,0.642759,23024.7,100,true
113,OVER_DROP_1MBx2,0.641545,22981.2,100,true
114,DUP_EQUALVERIFY_DUP_2MBx2,0.635073,22749.4,100,true
115,ADD_DUP_1MBx2,0.634012,22711.4,99.9972,true
116,DUP_EQUAL_DROP_DUP_2MBx2,0.633183,22681.7,100,true
117,3DUP_2DIV_DROP_2DIV_DROP_2DIV_DROP_100KBx2,0.630768,22595.2,99.9995,true
118,ADD_DUP_2MBx2,0.629065,22534.2,99.9969,true
119,DUP_MAX_DROP_DUP_100KBx2,0.627812,22489.3,100,true
120,DUP_ADD_DROP_DUP_1MBx2,0.626233,22432.7,99.9856,true
121,DUP_MIN_DROP_DUP_100KBx2,0.625821,22418,100,true
122,DUP_MUL_DROP_DUP_200Bx32k,0.618387,22151.7,99.9999,true
123,DUP_EQUALVERIFY_DUP_1MBx2,0.616701,22091.3,100,true
124,2DIV_DROP_DUP_10KBx2,0.613137,21963.6,100,true
125,ROLL_DUP_MAX_STACK_SIZE,0.612188,21929.6,99.9984,true
126,DUP_EQUAL_DROP_DUP_1MBx2,0.610899,21883.4,100,true
127,1SUB_DROP_DUP_2MBx2,0.610027,21852.2,100,true
128,1ADD_DROP_DUP_10KBx2,0.609863,21846.3,100,true
129,DUP_OR_DROP_DUP_2MBx2,0.603833,21630.3,100,true
130,DUP_OR_DROP_DUP_1MBx2,0.599111,21461.2,100,true
131,RIPEMD160_DROP_DUP_200Bx32k,0.595218,21321.7,1.28205,false
132,HASH160_DROP_DUP_520Bx2,0.594701,21303.2,36.6667,false
133,DUP_AND_DROP_DUP_2MBx2,0.592628,21228.9,100,true
134,DUP_XOR_DROP_DUP_2MBx2,0.592618,21228.6,100,true
135,DUP_MIN_DROP_DUP_10KBx2,0.592425,21221.7,100,true
