# CPU: Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: sse4(1way);sse41(4way);avx2(8way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (4.33373 sec) vs Schnorr (2.7443 sec):
# Suggested budget: 3292.86 varops per weight unit (current: 5200)
# Formula: 5200 / 4.33373 * 2.7443 = 3292.86
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,4.51156,131518,90.6594,true
2,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,4.44797,129664,90.6594,true
3,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,4.33373,126334,99.9997,true
4,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,4.32242,126004,99.9997,true
5,HASH256_DROP_DUP_10KBx2,4.3124,125712,100,true
6,HASH160_DROP_DUP_10KBx2,4.30496,125495,100,true
7,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,4.29527,125213,99.9997,true
8,SHA256_DROP_DUP_10KBx2,4.27668,124671,100,true
9,HASH256_DROP_DUP_1MBx2,4.26043,124197,100,true
10,HASH256_DROP_DUP_2MBx2,4.25838,124137,99.9519,true
11,HASH160_DROP_DUP_2MBx2,4.25607,124070,99.9519,true
12,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,4.25607,124070,99.9995,true
13,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,4.25596,124067,99.9663,true
14,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,4.25511,124042,99.9995,true
15,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,4.25487,124035,99.9995,true
16,HASH160_DROP_DUP_1MBx2,4.25328,123989,100,true
17,SHA256_DROP_DUP_1MBx2,4.2519,123948,100,true
18,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,4.25177,123945,99.9663,true
19,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,4.25068,123913,99.9663,true
20,SHA256_DROP_DUP_2MBx2,4.25003,123894,99.9519,true
21,HASH256_DROP_DUP_100KBx2,4.24524,123754,99.9995,true
22,HASH160_DROP_DUP_100KBx2,4.24243,123672,99.9995,true
23,SHA256_DROP_DUP_100KBx2,4.23809,123546,99.9995,true
24,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,4.21605,122903,90.6594,true
25,HASH256_DROP_DUP_1KBx2,3.51981,102607,70.5129,true
26,HASH160_DROP_DUP_1KBx2,3.48132,101485,70.5129,true
27,SHA256_DROP_DUP_1KBx2,3.29188,95962.8,70.5129,true
28,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,2.79656,81523.4,47.1429,false
29,Schnorr signature validation,2.7443,80000,0,false
30,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,2.74306,79963.8,47.1429,false
31,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_520Bx2,2.50912,73144.2,47.1429,false
32,HASH256_DROP_DUP_520Bx2,2.187,63753.9,36.6667,false
33,HASH160_DROP_DUP_520Bx2,2.14483,62524.8,36.6667,false
34,MUL_DUP_1Bx2,2.05261,59836.4,82.4893,true
35,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.96782,57364.7,4.28572,false
36,SHA256_DROP_DUP_520Bx2,1.96137,57176.4,36.6667,false
37,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.64752,48027.5,4.28572,false
38,RIPEMD160_DROP_DUP_520Bx2,1.59239,46420.2,3.33333,false
39,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_200Bx32k,1.48969,43426.5,18.1319,false
40,DUP_DUP_WITHIN_DROP_DUP_2MBx2,1.48756,43364.4,100,true
41,DUP_DUP_WITHIN_DROP_DUP_1MBx2,1.47021,42858.6,100,true
42,DUP_DUP_WITHIN_DROP_DUP_10KBx2,1.43507,41834.1,100,true
43,DUP_DUP_WITHIN_DROP_DUP_100KBx2,1.43236,41755.3,100,true
44,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_200Bx32k,1.43157,41732,18.1319,false
45,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,1.32528,38633.7,100,true
46,DUP_NUMEQUALVERIFY_DUP_2MBx2,1.32132,38518.4,100,true
47,DUP_NUMEQUAL_DROP_DUP_2MBx2,1.32039,38491.2,100,true
48,DUP_NUMEQUAL_DROP_DUP_10KBx2,1.32022,38486.1,100,true
49,DUP_GREATERTHAN_DROP_DUP_2MBx2,1.3198,38473.9,100,true
50,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,1.31846,38434.9,100,true
51,DUP_LESSTHANOREQUAL_DROP_DUP_10KBx2,1.31773,38413.4,100,true
52,DUP_LESSTHAN_DROP_DUP_2MBx2,1.31642,38375.5,100,true
53,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,1.31598,38362.6,100,true
54,DUP_NUMEQUAL_DROP_DUP_1MBx2,1.31052,38203.3,100,true
55,DUP_GREATERTHANOREQUAL_DROP_DUP_1MBx2,1.3105,38202.9,100,true
56,DUP_LESSTHAN_DROP_DUP_1MBx2,1.30976,38181.2,100,true
57,DUP_GREATERTHAN_DROP_DUP_1MBx2,1.30962,38177.1,100,true
58,DUP_GREATERTHANOREQUAL_DROP_DUP_10KBx2,1.30949,38173.4,100,true
59,DUP_LESSTHANOREQUAL_DROP_DUP_1MBx2,1.30922,38165.4,100,true
60,DUP_NUMEQUALVERIFY_DUP_1MBx2,1.30761,38118.5,100,true
61,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,1.30745,38114,100,true
62,DUP_GREATERTHAN_DROP_DUP_10KBx2,1.30571,38063.3,100,true
63,DUP_NUMNOTEQUAL_DROP_DUP_10KBx2,1.30531,38051.6,100,true
64,DUP_NUMEQUALVERIFY_DUP_10KBx2,1.28776,37540,100,true
65,SHA1_DROP_DUP_520Bx2,1.27288,37106.2,3.33333,false
66,DUP_LESSTHAN_DROP_DUP_10KBx2,1.27036,37032.6,100,true
67,DUP_LESSTHANOREQUAL_DROP_DUP_100KBx2,1.25742,36655.4,100,true
68,DUP_LESSTHAN_DROP_DUP_100KBx2,1.25722,36649.5,100,true
69,DUP_GREATERTHAN_DROP_DUP_100KBx2,1.25409,36558.5,100,true
70,DUP_GREATERTHANOREQUAL_DROP_DUP_100KBx2,1.25272,36518.4,100,true
71,DUP_NUMNOTEQUAL_DROP_DUP_100KBx2,1.24922,36416.5,100,true
72,DUP_NUMEQUAL_DROP_DUP_100KBx2,1.243,36235.2,100,true
73,DUP_NUMEQUALVERIFY_DUP_100KBx2,1.23952,36133.6,100,true
74,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_200Bx32k,1.20022,34988,18.1319,false
75,DUP_MUL_DROP_DUP_200Bx32k,1.19458,34823.6,99.9999,true
76,HASH256_DROP_DUP_200Bx32k,1.1708,34130.2,14.1026,false
