# CPU: Apple M4 Pro
# Architecture: ARM64
# Compiler: Clang 17.0.0
# SHA256 Implementation: arm_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (0.732785 sec) vs Schnorr (1.10133 sec):
# Suggested budget: 7815.25 varops per weight unit (current: 5200)
# Formula: 5200 / 0.732785 * 1.10133 = 7815.25
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.47727,107308,4.28572,false
2,RIPEMD160_DROP_DUP_520Bx2,1.13023,82099.6,3.33333,false
3,Schnorr signature validation,1.10133,80000,0,false
4,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,0.945496,68680.5,4.28572,false
5,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,0.930057,67559,90.6594,true
6,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,0.810768,58893.9,90.6594,true
7,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,0.748651,54381.8,90.6594,true
8,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,0.732785,53229.2,99.9663,true
9,SHA1_DROP_DUP_520Bx2,0.723928,52585.9,3.33333,false
10,DUP_SUB_DROP_DUP_100KBx2,0.721818,52432.6,100,true
11,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,0.717054,52086.6,99.9663,true
12,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,0.711761,51702.1,99.9997,true
13,HASH160_DROP_DUP_10KBx2,0.707404,51385.6,100,true
14,HASH160_DROP_DUP_1KBx2,0.706895,51348.6,70.5129,true
15,DUP_SUB_DROP_DUP_10KBx2,0.706033,51286,100,true
16,HASH160_DROP_DUP_100KBx2,0.702352,51018.6,99.9995,true
17,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,0.701979,50991.6,99.9997,true
18,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,0.70039,50876.1,1.64835,false
19,DUP_SUB_DROP_DUP_1MBx2,0.697974,50700.6,100,true
20,HASH256_DROP_DUP_10KBx2,0.697704,50681,100,true
21,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,0.697691,50680.1,99.9995,true
22,HASH256_DROP_DUP_100KBx2,0.697582,50672.2,99.9995,true
23,DUP_SUB_DROP_DUP_2MBx2,0.696046,50560.5,100,true
24,SHA256_DROP_DUP_100KBx2,0.693201,50353.9,99.9995,true
25,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,0.691688,50243.9,99.9997,true
26,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,0.689823,50108.5,99.9995,true
27,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,0.687331,49927.5,99.9995,true
28,SHA256_DROP_DUP_10KBx2,0.68421,49700.8,100,true
29,HASH160_DROP_DUP_2MBx2,0.682763,49595.7,99.9519,true
30,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,0.681295,49489,99.9663,true
31,HASH256_DROP_DUP_2MBx2,0.680827,49455,99.9519,true
32,HASH256_DROP_DUP_1MBx2,0.68013,49404.4,100,true
33,HASH160_DROP_DUP_1MBx2,0.679928,49389.7,100,true
34,SHA256_DROP_DUP_2MBx2,0.679703,49373.4,99.9519,true
35,SHA256_DROP_DUP_1MBx2,0.678613,49294.2,100,true
36,DUP_DUP_WITHIN_DROP_DUP_10KBx2,0.668462,48556.8,100,true
37,DUP_DUP_WITHIN_DROP_DUP_100KBx2,0.667136,48460.6,100,true
38,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,0.662235,48104.5,47.1429,false
39,DUP_DUP_WITHIN_DROP_DUP_2MBx2,0.655124,47588,100,true
40,DUP_DUP_WITHIN_DROP_DUP_1MBx2,0.646525,46963.4,100,true
41,DUP_GREATERTHANOREQUAL_DROP_DUP_10KBx2,0.638949,46413.1,100,true
42,DUP_LESSTHANOREQUAL_DROP_DUP_10KBx2,0.634367,46080.2,100,true
43,DUP_NUMEQUAL_DROP_DUP_10KBx2,0.629583,45732.7,100,true
44,DUP_LESSTHAN_DROP_DUP_10KBx2,0.625105,45407.4,100,true
45,DUP_MUL_DROP_DUP_10KBx2,0.624815,45386.3,99.9331,true
46,DUP_GREATERTHAN_DROP_DUP_10KBx2,0.623086,45260.7,100,true
47,DUP_LESSTHANOREQUAL_DROP_DUP_100KBx2,0.622363,45208.3,100,true
48,ADD_DUP_100KBx2,0.621768,45165,99.9998,true
49,HASH256_DROP_DUP_1KBx2,0.621458,45142.5,70.5129,true
50,DUP_NUMEQUALVERIFY_DUP_10KBx2,0.617911,44884.8,100,true
51,DUP_NUMEQUALVERIFY_DUP_100KBx2,0.617752,44873.3,100,true
52,DUP_NUMNOTEQUAL_DROP_DUP_100KBx2,0.615822,44733.1,100,true
53,DUP_NUMEQUAL_DROP_DUP_100KBx2,0.615711,44725.1,100,true
54,DUP_GREATERTHANOREQUAL_DROP_DUP_100KBx2,0.615339,44698,100,true
55,DUP_NUMNOTEQUAL_DROP_DUP_10KBx2,0.615155,44684.7,100,true
56,DUP_GREATERTHAN_DROP_DUP_100KBx2,0.61463,44646.5,100,true
57,DUP_LESSTHAN_DROP_DUP_100KBx2,0.614573,44642.4,100,true
58,DUP_MUL_DROP_DUP_1KBx2,0.613734,44581.4,99.9993,true
59,ADD_DUP_2MBx2,0.610815,44369.4,99.9969,true
60,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_10KBx2,0.606672,44068.5,99.9999,true
61,1ADD_DROP_DUP_10KBx2,0.605328,43970.8,100,true
62,ADD_DUP_1MBx2,0.604384,43902.3,99.9972,true
63,ADD_DUP_100Bx2,0.602516,43766.6,99.9998,false
64,ADD_DUP_200Bx32k,0.601655,43704,100,false
65,ADD_DUP_10Bx2,0.601154,43667.6,100,false
66,ADD_DUP_1Bx2,0.600587,43626.4,100,false
67,ADD_DUP_520Bx2,0.599712,43562.9,99.9995,false
68,ADD_DUP_1KBx2,0.599471,43545.3,99.9999,true
69,DUP_ADD_DROP_DUP_100KBx2,0.599413,43541.2,99.9986,true
70,ADD_DUP_10KBx2,0.595443,43252.8,100,true
71,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,0.594334,43172.2,100,true
72,DUP_GREATERTHANOREQUAL_DROP_DUP_1MBx2,0.587388,42667.7,100,true
73,1ADD_DROP_DUP_100KBx2,0.586211,42582.2,100,true
74,DUP_ADD_DROP_DUP_10KBx2,0.585941,42562.6,99.9999,true
75,SHA256_DROP_DUP_1KBx2,0.582654,42323.8,70.5129,true
76,DUP_NUMEQUAL_DROP_DUP_2MBx2,0.581604,42247.5,100,true
77,DUP_GREATERTHANOREQUAL_DROP_DUP_2MBx2,0.578625,42031.1,100,true
78,DUP_LESSTHAN_DROP_DUP_2MBx2,0.577754,41967.9,100,true
79,DUP_NUMEQUALVERIFY_DUP_1MBx2,0.576799,41898.5,100,true
80,DUP_MUL_DROP_DUP_520Bx2,0.575682,41817.4,99.9992,true
81,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_1MBx2,0.575228,41784.4,99.9856,true
82,DUP_NUMEQUALVERIFY_DUP_2MBx2,0.574669,41743.8,100,true
83,DUP_MUL_DROP_DUP_200Bx32k,0.574066,41699.9,99.9999,true
84,DUP_GREATERTHAN_DROP_DUP_2MBx2,0.573526,41660.8,100,true
85,DUP_NUMEQUAL_DROP_DUP_1MBx2,0.573364,41649,100,true
86,DUP_LESSTHANOREQUAL_DROP_DUP_1MBx2,0.572885,41614.2,100,true
87,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,0.572235,41566.9,100,true
88,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,0.571269,41496.8,100,true
89,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_100KBx2,0.570456,41437.7,99.9986,true
90,DUP_LESSTHAN_DROP_DUP_1MBx2,0.569056,41336,100,true
91,DUP_GREATERTHAN_DROP_DUP_1MBx2,0.567218,41202.5,100,true
92,1ADD_DROP_DUP_1MBx2,0.566689,41164.1,100,true
93,1ADD_DROP_DUP_2MBx2,0.561726,40803.6,100,true
94,DUP_ADD_DROP_DUP_1MBx2,0.557111,40468.4,99.9856,true
95,DUP_ADD_DROP_DUP_2MBx2,0.551737,40078,99.9904,true
96,MUL_DUP_520Bx2,0.535636,38908.4,85.2016,true
97,RIPEMD160_DROP_DUP_200Bx32k,0.532109,38652.2,1.28205,false
98,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_520Bx2,0.520372,37799.6,47.1429,false
99,MUL_DUP_1Bx2,0.518165,37639.3,82.4893,true
100,ROLL_DUP_MAX_STACK_SIZE,0.515913,37475.8,99.9984,true
101,MIN_DUP_10KBx2,0.511779,37175.4,100,true
102,MAX_DUP_100KBx2,0.508508,36937.9,99.9995,true
103,MAX_DUP_10KBx2,0.50623,36772.4,100,true
104,MIN_DUP_100KBx2,0.505796,36740.9,99.9995,true
105,MAX_DUP_1MBx2,0.495029,35958.7,99.9952,true
106,MUL_DUP_1KBx2,0.494016,35885.2,78.7729,true
107,HASH160_DROP_DUP_520Bx2,0.490467,35627.4,36.6667,false
108,MIN_DUP_2MBx2,0.488101,35455.5,100,true
109,MAX_DUP_2MBx2,0.487044,35378.7,100,true
110,MIN_DUP_1MBx2,0.482838,35073.2,99.9952,true
111,DUP_MAX_DROP_DUP_100KBx2,0.471339,34237.9,100,true
112,DUP_MIN_DROP_DUP_100KBx2,0.468779,34052,100,true
113,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_520Bx2,0.460213,33429.7,47.1429,false
114,DUP_MAX_DROP_DUP_10KBx2,0.458068,33273.9,100,true
115,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_200Bx32k,0.455332,33075.1,1.64835,false
116,DUP_MUL_DROP_DUP_100KBx2,0.453851,32967.5,72.1197,true
117,DUP_MIN_DROP_DUP_10KBx2,0.450327,32711.6,100,true
118,TUCK_DROP_100KBx2,0.449187,32628.8,100,true
119,NIP_DUP_100KBx2,0.448281,32563,100,true
120,DUP_MAX_DROP_DUP_2MBx2,0.438678,31865.4,100,true
121,DUP_MAX_DROP_DUP_1MBx2,0.433788,31510.2,100,true
122,DUP_MIN_DROP_DUP_2MBx2,0.427558,31057.7,100,true
123,DUP_MIN_DROP_DUP_1MBx2,0.425968,30942.2,100,true
124,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_200Bx32k,0.422396,30682.7,18.1319,false
125,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_1KBx2,0.419768,30491.8,41.2088,true
126,HASH256_DROP_DUP_520Bx2,0.402289,29222.1,36.6667,false
127,DIV_DUP_10KBx2,0.399747,29037.5,0.27617,true
128,DIV_DUP_200Bx32k,0.399333,29007.4,0.115459,true
129,DIV_DUP_10Bx2,0.398866,28973.5,0.115385,true
130,DIV_DUP_520Bx2,0.397018,28839.2,0.115845,true
131,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_100Bx2,0.39631,28787.8,0.824176,false
132,DIV_DUP_100Bx2,0.396129,28774.6,0.115406,true
133,DIV_DUP_100KBx2,0.394509,28657,16.1463,true
134,2DIV_DROP_DUP_100KBx2,0.393036,28550,99.9995,true
135,DIV_DUP_1KBx2,0.392935,28542.7,0.11704,true
136,DIV_DUP_1Bx2,0.392611,28519.1,0.115385,true
137,2OVER_DROP_DROP_10KBx2,0.366207,26601.2,100,true
138,3DUP_2DIV_DROP_2DIV_DROP_2DIV_DROP_100KBx2,0.365253,26531.9,99.9995,true
139,SHA256_DROP_DUP_520Bx2,0.362164,26307.5,36.6667,false
140,3DUP_2DIV_DROP_2DIV_DROP_2DIV_DROP_10KBx2,0.354542,25753.8,100,true
141,SHA1_DROP_DUP_200Bx32k,0.349856,25413.4,1.28205,false
142,DUP_EQUAL_DROP_DUP_100KBx2,0.348714,25330.4,100,true
143,2DUP_DROP_DROP_10KBx2,0.348158,25290.1,100,true
144,DUP_MUL_DROP_DUP_100Bx2,0.346221,25149.4,39.4231,true
145,DUP_EQUALVERIFY_DUP_100KBx2,0.345853,25122.6,100,true
146,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100Bx2,0.34145,24802.8,9.06594,false
147,2DIV_DROP_DUP_10KBx2,0.340376,24724.8,100,true
148,2MUL_DROP_DUP_10KBx2,0.335283,24354.8,100,true
149,3DUP_2MUL_DROP_2MUL_DROP_2MUL_DROP_10KBx2,0.332383,24144.2,100,true
150,2MUL_DROP_DUP_100KBx2,0.326979,23751.6,100,true
151,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_10KBx2,0.32354,23501.8,100,true
152,DUP_NUMEQUALVERIFY_DUP_1KBx2,0.318227,23115.9,19.2308,true
153,1SUB_DROP_DUP_100KBx2,0.317632,23072.7,100,true
154,MUL_DUP_100Bx2,0.317195,23040.9,50.4162,true
155,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_100KBx2,0.316781,23010.9,99.9995,true
156,MUL_DUP_200Bx32k,0.316321,22977.5,50.4162,true
157,HASH160_DROP_DUP_200Bx32k,0.315384,22909.4,14.1026,false
158,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1Bx2,0.314802,22867.1,0.0906594,false
159,DUP_EQUAL_DROP_DUP_10KBx2,0.311621,22636,100,true
160,3DUP_2MUL_DROP_2MUL_DROP_2MUL_DROP_100KBx2,0.310601,22562,99.9995,true
161,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10Bx2,0.309578,22487.7,0.906594,false
162,1SUB_DROP_DUP_10KBx2,0.307296,22321.9,100,true
163,MAX_DUP_1KBx2,0.305283,22175.7,28.8462,true
164,DUP_EQUALVERIFY_DUP_10KBx2,0.30433,22106.4,100,true
165,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_1MBx2,0.303522,22047.8,99.9952,true
166,DUP_CAT_DROP_DUP_100KBx2,0.303325,22033.4,100,true
167,1ADD_DROP_DUP_1KBx2,0.303112,22017.9,32.0513,true
168,MIN_DUP_1KBx2,0.30292,22004,28.8462,true
169,2DUP_2DROP_10KBx2,0.302629,21982.9,100,true
170,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_200Bx32k,0.299871,21782.5,18.1319,false
171,RIPEMD160_DROP_DUP_100Bx2,0.299714,21771.1,0.641025,false
172,DUP_ADD_DROP_DUP_1KBx2,0.294687,21405.9,28.8462,true
173,3DUP_1ADD_DROP_1ADD_DROP_1ADD_DROP_520Bx2,0.294539,21395.2,21.4286,false
174,DUP_EQUAL_DROP_DUP_2MBx2,0.290882,21129.6,100,true
175,1SUB_DROP_DUP_2MBx2,0.290659,21113.3,100,true
176,1SUB_DROP_DUP_1MBx2,0.289754,21047.6,100,true
177,DUP_DUP_WITHIN_DROP_DUP_1KBx2,0.289555,21033.1,19.2308,true
178,DUP_EQUALVERIFY_DUP_2MBx2,0.287777,20904.1,100,true
179,DUP_SUB_DROP_DUP_1KBx2,0.287133,20857.3,24.0385,true
180,DROP_DUP_10KBx2,0.284707,20681,96.1538,true
181,DUP_EQUAL_DROP_DUP_1MBx2,0.284568,20671,100,true
182,DUP_EQUALVERIFY_DUP_1MBx2,0.283825,20616.9,100,true
183,DUP_MOD_DROP_DUP_100Bx2,0.279987,20338.2,18.2692,true
184,3DUP_ABS_DROP_ABS_DROP_ABS_DROP_10KBx2,0.277462,20154.7,82.4176,true
185,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_100Bx2,0.273619,19875.6,0.824176,false
186,OVER_DROP_10KBx2,0.272485,19793.2,96.1538,true
187,3DUP_1SUB_DROP_1SUB_DROP_1SUB_DROP_1KBx2,0.271798,19743.3,32.967,true
188,3DUP_ABS_DROP_ABS_DROP_ABS_DROP_100KBx2,0.270946,19681.4,99.9995,true
189,DUP_DIV_DROP_DUP_100Bx2,0.270684,19662.4,22.274,true
190,3DUP_NEGATE_DROP_NEGATE_DROP_NEGATE_DROP_100KBx2,0.270334,19637,99.9995,true
191,AND_DUP_100KBx2,0.269342,19564.9,99.9995,true
192,DUP_AND_DROP_DUP_100KBx2,0.26884,19528.5,100,true
193,DUP_XOR_DROP_DUP_100KBx2,0.268598,19510.9,100,true
194,3DUP_2MUL_DROP_2MUL_DROP_2MUL_DROP_1KBx2,0.268143,19477.8,32.967,true
195,3DUP_NEGATE_DROP_NEGATE_DROP_NEGATE_DROP_10KBx2,0.268013,19468.4,82.4176,true
196,DUP_LEFT_DROP_DUP_100KBx2_offset_1KB,0.267792,19452.3,99.9995,true
197,XOR_DUP_100KBx2,0.267786,19451.9,99.9995,true
198,OR_DUP_100KBx2,0.26677,19378.1,99.9995,true
199,DUP_DROP_10KBx2,0.266481,19357.1,96.1538,true
200,DUP_OR_DROP_DUP_100KBx2,0.266058,19326.4,100,true
201,DUP_CAT_DROP_DUP_2MBx2,0.263862,19166.9,100,true
202,DUP_LEFT_DROP_DUP_100KBx2_offset_10KB,0.262268,19051.1,99.9995,true
203,HASH160_DROP_DUP_100Bx2,0.26074,18940.1,7.05129,false
204,DUP_CAT_DROP_DUP_1MBx2,0.259966,18883.9,100,true
205,2DUP_DROP_DROP_100KBx2,0.256294,18617.1,100,true
206,2OVER_DROP_DROP_100KBx2,0.254693,18500.8,100,true
207,2DUP_2DROP_1MBx2,0.25455,18490.4,100,true
208,2DUP_2DROP_100KBx2,0.254383,18478.3,100,true
