# CPU: AMD Ryzen 5 3600 6-Core Processor
# Architecture: x86_64
# Compiler: GCC 13.3.0
# SHA256 Implementation: x86_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (0.994495 sec) vs Schnorr (3.0594 sec):
# Suggested budget: 15997 varops per weight unit (current: 5200)
# Formula: 5200 / 0.994495 * 3.0594 = 15997
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,3.0594,80000,0,false
2,MUL_DUP_1Bx2,2.3712,62004.2,82.4893,true
3,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,2.0526,53673.1,4.28572,false
4,RIPEMD160_DROP_DUP_520Bx2,1.614,42204.3,3.33333,false
5,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.42352,37223.6,4.28572,false
6,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,1.30716,34180.9,90.6594,true
7,MUL_DUP_100Bx2,1.22147,31940.1,50.4162,true
8,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,1.13194,29599.1,90.6594,true
9,SHA1_DROP_DUP_520Bx2,1.12071,29305.3,3.33333,false
10,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,1.0427,27265.5,90.6594,true
11,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,1.03904,27169.7,1.64835,false
12,HASH160_DROP_DUP_1KBx2,1.02411,26779.5,70.5129,true
13,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,0.994495,26005,99.9997,true
14,HASH160_DROP_DUP_10KBx2,0.985761,25776.6,100,true
15,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,0.978254,25580.3,99.9997,true
16,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,0.967803,25307,99.9997,true
17,ROLL_DUP_MAX_STACK_SIZE,0.966819,25281.3,99.9984,true
18,HASH256_DROP_DUP_10KBx2,0.963394,25191.7,100,true
19,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,0.952738,24913.1,99.9995,true
20,SHA256_DROP_DUP_10KBx2,0.952687,24911.7,100,true
