# CPU: AMD Ryzen 7 5800U with Radeon Graphics
# Architecture: x86_64
# Compiler: GCC 14.2.0
# SHA256 Implementation: x86_shani(1way;2way)
#
# SUGGESTED MAXIMUM VAROPS BUDGET:
# Based on slowest 100% varops operation (0.975101 sec) vs Schnorr (2.57411 sec):
# Suggested budget: 13727.2 varops per weight unit (current: 5200)
# Formula: 5200 / 0.975101 * 2.57411 = 13727.2
#
Rank,Name,Seconds,Schnorr_Equivalents,Varops_Percentage,Is_GSR_Only
1,Schnorr signature validation,2.57411,80000,0,false
2,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_520Bx2,1.78773,55560.4,4.28572,false
3,MUL_DUP_1Bx2,1.44749,44986,82.4893,true
4,RIPEMD160_DROP_DUP_520Bx2,1.39935,43490,3.33333,false
5,3DUP_SHA1_DROP_SHA1_DROP_SHA1_DROP_520Bx2,1.20267,37377.5,4.28572,false
6,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1KBx2,1.19128,37023.4,90.6594,true
7,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1KBx2,1.03388,32131.8,90.6594,true
8,DUP_NUMEQUALVERIFY_DUP_1MBx2,0.975101,30304.9,100,true
9,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1KBx2,0.957676,29763.3,90.6594,true
10,ADD_DUP_1MBx2,0.957453,29756.4,99.9972,true
11,DUP_NUMNOTEQUAL_DROP_DUP_1MBx2,0.955318,29690,100,true
12,DUP_DUP_WITHIN_DROP_DUP_1MBx2,0.948568,29480.2,100,true
13,DUP_LESSTHANOREQUAL_DROP_DUP_2MBx2,0.942413,29289,100,true
14,SHA1_DROP_DUP_520Bx2,0.940993,29244.8,3.33333,false
15,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_10KBx2,0.937466,29135.2,99.9997,true
16,DUP_NUMNOTEQUAL_DROP_DUP_2MBx2,0.937434,29134.2,100,true
17,HASH160_DROP_DUP_1KBx2,0.932021,28966,70.5129,true
18,HASH160_DROP_DUP_10KBx2,0.925584,28765.9,100,true
19,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_10KBx2,0.919426,28574.6,99.9997,true
20,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_10KBx2,0.912453,28357.8,99.9997,true
21,HASH256_DROP_DUP_10KBx2,0.905471,28140.8,100,true
22,DUP_GREATERTHANOREQUAL_DROP_DUP_1MBx2,0.904609,28114,100,true
23,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_100KBx2,0.901747,28025.1,99.9995,true
24,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_1MBx2,0.901574,28019.7,99.9663,true
25,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_1MBx2,0.90144,28015.6,99.9663,true
26,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_1MBx2,0.901178,28007.4,99.9663,true
27,HASH256_DROP_DUP_2MBx2,0.900308,27980.4,99.9519,true
28,HASH256_DROP_DUP_1MBx2,0.900285,27979.7,100,true
29,HASH160_DROP_DUP_1MBx2,0.900284,27979.6,100,true
30,HASH160_DROP_DUP_2MBx2,0.900122,27974.6,99.9519,true
31,SHA256_DROP_DUP_1MBx2,0.89989,27967.4,100,true
32,SHA256_DROP_DUP_2MBx2,0.899722,27962.2,99.9519,true
33,3DUP_HASH256_DROP_HASH256_DROP_HASH256_DROP_100KBx2,0.899635,27959.5,99.9995,true
34,DUP_MUL_DROP_DUP_200Bx32k,0.899517,27955.8,99.9999,true
35,3DUP_SHA256_DROP_SHA256_DROP_SHA256_DROP_100KBx2,0.898465,27923.1,99.9995,true
36,SHA256_DROP_DUP_10KBx2,0.898165,27913.8,100,true
37,DUP_DUP_WITHIN_DROP_DUP_2MBx2,0.897976,27907.9,100,true
38,ROLL_DUP_MAX_STACK_SIZE,0.896782,27870.8,99.9984,true
39,HASH160_DROP_DUP_100KBx2,0.895311,27825.1,99.9995,true
40,HASH256_DROP_DUP_100KBx2,0.893542,27770.1,99.9995,true
41,SHA256_DROP_DUP_100KBx2,0.892457,27736.4,99.9995,true
42,3DUP_RIPEMD160_DROP_RIPEMD160_DROP_RIPEMD160_DROP_200Bx32k,0.876403,27237.4,1.64835,false
43,DUP_MUL_DROP_DUP_520Bx2,0.876134,27229.1,99.9992,true
44,DUP_MUL_DROP_DUP_1KBx2,0.84722,26330.5,99.9993,true
45,3DUP_HASH160_DROP_HASH160_DROP_HASH160_DROP_520Bx2,0.835376,25962.4,47.1429,false
46,DUP_NUMEQUAL_DROP_DUP_1MBx2,0.818832,25448.2,100,true
